time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T06:46:21.690Z,36.1506667,-118.0695,0.36,1.71,ml,19,109,0.1769,0.17,ci,ci38351088,2018-11-06T13:59:48.634Z,"16km SSW of Olancha, CA",earthquake,0.29,0.61,0.257,25,reviewed,ci,ci
2018-11-06T06:38:26.000Z,38.8058319,-122.7914963,1.37,1.18,md,20,58,0.01124,0.04,nc,nc73107391,2018-11-06T09:48:03.216Z,"4km NW of The Geysers, CA",earthquake,0.2,0.42,0.22,4,automatic,nc,nc
2018-11-06T06:35:51.550Z,36.1476667,-118.0665,0.59,3.48,ml,32,76,0.1739,0.17,ci,ci38351080,2018-11-06T15:29:07.140Z,"16km NW of Coso Junction, CA",earthquake,0.18,0.5,0.14,302,reviewed,ci,ci
2018-11-06T06:18:11.091Z,40.3057,-119.7104,4,2.1,ml,16,159.26,0.372,0.2279,nn,nn00664406,2018-11-06T14:38:30.308Z,"41km SW of Gerlach-Empire, Nevada",earthquake,,7.3,0.24,8,reviewed,nn,nn
2018-11-06T06:14:28.780Z,38.8248329,-122.8050003,2.19,1.41,md,27,65,0.004215,0.04,nc,nc73107366,2018-11-06T07:44:02.749Z,"7km NW of The Geysers, CA",earthquake,0.23,0.34,0.08,5,automatic,nc,nc
2018-11-06T06:13:59.469Z,61.9641,-150.2919,30.9,1.4,ml,,,,0.62,ak,ak20333180,2018-11-06T06:19:39.071Z,"27km NNW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T06:12:19.120Z,40.3798333,-120.7548333,-0.16,2.01,md,18,91,0.1946,0.12,nc,nc73107361,2018-11-06T16:50:06.943Z,"10km WSW of Susanville, CA",earthquake,0.42,4.45,0.067,14,reviewed,nc,nc
2018-11-06T05:53:38.380Z,38.8310013,-122.7983322,1.25,0.23,md,9,90,0.009677,0.01,nc,nc73107351,2018-11-06T06:08:03.493Z,"7km W of Cobb, CA",earthquake,0.32,0.91,,1,automatic,nc,nc
2018-11-06T05:43:44.000Z,32.9076,90.3416,10,4.7,mb,,88,3.264,1.19,us,us2000i7bi,2018-11-06T06:50:19.040Z,"136km NNE of Pubu, China",earthquake,9.8,1.9,0.064,74,reviewed,us,us
2018-11-06T05:41:00.690Z,29.2926,130.5364,35,4.8,mb,,115,3.16,0.76,us,us2000i7bj,2018-11-06T06:05:40.040Z,"145km NE of Naze, Japan",earthquake,8.5,2,0.055,101,reviewed,us,us
2018-11-06T05:36:52.480Z,38.809166,-122.8201675,1.68,0.89,md,13,85,0.007046,0.03,nc,nc73107346,2018-11-06T05:54:03.412Z,"7km WNW of The Geysers, CA",earthquake,0.4,0.61,0.13,2,automatic,nc,nc
